[2026-02-21 10:07:56] DELETED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2s.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 10:07:56] ADDED | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 10:48:10] DELETED | Key: DictKey_ActionText_68 | File: 03.wav | Folder: RU | Details: Заменен на RU 0117-CI-00-MS-Ming-2s.ogg
[2026-02-21 10:48:10] ADDED | Key: DictKey_ActionText_68 | File: RU 0117-CI-00-MS-Ming-2s.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-21 21:30:47] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-21 21:30:47] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:17:42] DELETED | Key: DictKey_ActionText_136 | File: HARM_06E.ogg | Folder: DEFAULT | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-21 22:17:42] ADDED | Key: DictKey_ActionText_136 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:18:19] DELETED | Key: DictKey_ActionText_136 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 22:18:19] ADDED | Key: DictKey_ActionText_136 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:24:48] KEPT | Key: DictKey_ActionText_117 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-21 22:24:48] ADDED | Key: DictKey_ActionText_117 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:24:57] DELETED | Key: DictKey_ActionText_117 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 22:24:57] ADDED | Key: DictKey_ActionText_117 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:25:08] DELETED | Key: DictKey_ActionText_158 | File: HARM_09E.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 22:25:08] ADDED | Key: DictKey_ActionText_158 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:32:05] DELETED | Key: DictKey_ActionText_176 | File: HARM_15E.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 22:32:05] ADDED | Key: DictKey_ActionText_176 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:32:11] KEPT | Key: DictKey_ActionText_176 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 6 ResKey - удаление пропущено
[2026-02-21 22:32:11] ADDED | Key: DictKey_ActionText_176 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:32:37] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-21 22:32:37] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:32:45] DELETED | Key: DictKey_ActionText_173 | File: HARM_14E.ogg | Folder: DEFAULT | Details: Заменен на test.ogg
[2026-02-21 22:32:45] ADDED | Key: DictKey_ActionText_173 | File: test.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-21 22:59:06] DELETED | Key: DictKey_subtitle_5858 | File: Player12.ogg | Folder: DEFAULT | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-21 22:59:06] ADDED | Key: DictKey_subtitle_5858 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-22 13:35:35] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-22 13:35:35] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
