[2026-02-23 20:40:49] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-23 20:40:49] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-23 20:40:59] KEPT | Key: DictKey_ActionText_132 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 4 ResKey - удаление пропущено
[2026-02-23 20:40:59] ADDED | Key: DictKey_ActionText_132 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-23 20:51:05] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-23 20:51:05] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-23 20:57:31] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: RU | Details: Файл используется 2 ResKey - удаление пропущено
[2026-02-23 20:57:31] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 20:57:54] DELETED | Key: DictKey_ActionText_132 | File: test.ogg | Folder: RU | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-23 20:57:54] ADDED | Key: DictKey_ActionText_132 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 20:58:20] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-23 20:58:20] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-23 21:11:55] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: DEFAULT | Details: Файл используется 5 ResKey - удаление пропущено
[2026-02-23 21:11:55] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: DEFAULT | Details: Новый файл заменил существующий
[2026-02-23 21:13:19] KEPT | Key: DictKey_ActionText_132 | File: test.ogg | Folder: RU | Details: Файл используется 2 ResKey - удаление пропущено
[2026-02-23 21:13:19] ADDED | Key: DictKey_ActionText_132 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 21:13:29] DELETED | Key: DictKey_ActionText_182 | File: RU HARM_17E.ogg | Folder: RU | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-23 21:13:29] ADDED | Key: DictKey_ActionText_182 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 21:42:41] ADDED | Key: DictKey_subtitle_5535 | File: test.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 22:19:29] KEPT | Key: DictKey_ActionText_155 | File: test.ogg | Folder: RU | Details: Файл используется 2 ResKey - удаление пропущено
[2026-02-23 22:19:29] ADDED | Key: DictKey_ActionText_155 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-23 22:56:03] ADDED | Key: DictKey_subtitle_5535 | File: test.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-24 18:19:41] DELETED | Key: DictKey_ActionText_68 | File: 03.wav | Folder: RU | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-24 18:19:41] ADDED | Key: DictKey_ActionText_68 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-24 19:11:02] DELETED | Key: DictKey_ActionText_182 | File: RU HARM_17E.ogg | Folder: RU | Details: Заменен на RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg
[2026-02-24 19:11:02] ADDED | Key: DictKey_ActionText_182 | File: RU 0117-CI-00-MS-Ming-2sаааааа ааааааааааа ааааааа ппппппппппп пппппппп.ogg | Folder: RU | Details: Новый файл заменил существующий
[2026-02-24 19:24:49] KEPT | Key: DictKey_ActionText_132 | File: test.ogg | Folder: RU | Details: Файл используется 2 ResKey - удаление пропущено
